10 Most popular Centrally Protected Ticketed Monuments for Domestic Visitors in 2018-19 - Rank,10 Most popular Centrally Protected Ticketed Monuments for Domestic Visitors in 2018-19 - Name of Monument,10 Most popular Centrally Protected Ticketed Monuments for Domestic Visitors in 2018-19 - No. of Domestic visitors,10 Most popular Centrally Protected Ticketed Monuments for Domestic Visitors in 2018-19 - Percentage share,10 Most popular Centrally Protected Ticketed Monuments for Foreign Visitors in 2018-19 - Rank,10 Most popular Centrally Protected Ticketed Monuments for Foreign Visitors in 2018-19 - Name of Monument,10 Most popular Centrally Protected Ticketed Monuments for Foreign Visitors in 2018-19 - No. of Foreign visitors,10 Most popular Centrally Protected Ticketed Monuments for Foreign Visitors in 2018-19 - Percentage share
1,Taj Mahal,5653589,11.45,1,Taj Mahal,878777,23.18
2,Red Fort,3430264,6.95,2,Agra fort,527534,13.92
3,"QutbMinar, Delhi",2645070,5.36,3,"QutbMinar, Delhi",334869,8.83
4,Sun Temple Konark,2461359,4.99,4,Red Fort,126093,3.33
5,Agra fort,1970202,3.99,5,"Group of Monument, Mamallapuram",57754,1.52
6,Charminar,1249039,2.53,6,Bibi kaMaqbara,12145,0.32
7,Shanirwada,1247322,2.53,7,Shanirwada,9883,0.26
8,Bibi kaMaqbara,1206687,2.44,8,Charminar,8947,0.24
9,"Group of Monument, Mamallapuram",1044091,2.12,9,Sun Temple Konark,5490,0.14
10,Gol Gumbaz,93917,0.19,10,Gol Gumbaz,2133,0.06
Others,Others,28359849,57.45,Others,Others,1827409,48.2
Total,Total,49361389,100,total,total,3791034,100
